fromNode,toNode,Confidence,InteractionType,Genes
xcb00010,xcb01120,32,Interact,"XC_0098; XC_0104; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb00640,xcb00020,5,Interact,"XC_1063; XC_1064; XC_2326; XC_2751; XC_3689"
xcb00562,xcb01200,2,Interact,"XC_1587; XC_2981"
xcb01120,xcb00340,2,Interact,"XC_2445; XC_3421"
xcb00010,xcb01130,31,Interact,"XC_0098; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb00640,xcb00061,4,Interact,"XC_0527; XC_0529; XC_1578; XC_2881"
xcb00562,xcb01230,1,Interact,XC_1587
xcb01120,xcb00410,3,Interact,"XC_2445; XC_2975; XC_3421"
xcb00010,xcb01200,25,Interact,"XC_0098; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2465; XC_2531; XC_2751; XC_3287; XC_3488; XC_3689; XC_3691; XC_4149"
xcb00640,xcb00930,1,Interact,XC_2975
xcb00562,xcb01100,5,Interact,"XC_1121; XC_1587; XC_1838; XC_2981; XC_3288"
xcb01120,xcb00903,3,Interact,"XC_2445; XC_2975; XC_3421"
xcb00010,xcb01230,10,Interact,"XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1404; XC_1587; XC_2531; XC_3287; XC_3488"
xcb00640,xcb01210,1,Interact,XC_2326
xcb00562,xcb01110,3,Interact,"XC_1121; XC_1587; XC_3288"
xcb01120,xcb04122,1,Interact,XC_2697
xcb00010,xcb00260,5,Interact,"XC_1404; XC_2751; XC_3287; XC_3488; XC_3689"
xcb00640,xcb00660,2,Interact,"XC_1063; XC_1064"
xcb00562,xcb00010,1,Interact,XC_1587
xcb01120,xcb00633,1,Interact,XC_2924
xcb00010,xcb00680,10,Interact,"XC_0098; XC_0686; XC_0775; XC_0872; XC_0979; XC_1404; XC_2531; XC_3287; XC_3488; XC_4149"
xcb00640,xcb00562,1,Interact,XC_2981
xcb00562,xcb00051,1,Interact,XC_1587
xcb01120,xcb01040,1,Interact,XC_2975
xcb00010,xcb01100,32,Interact,"XC_0098; XC_0104; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb00640,xcb00281,1,Interact,XC_2975
xcb00562,xcb00280,1,Interact,XC_2981
xcb01120,xcb00460,1,Interact,XC_3544
xcb00010,xcb01110,32,Interact,"XC_0098; XC_0104; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb00640,xcb00410,3,Interact,"XC_1759; XC_2975; XC_2981"
xcb00562,xcb00640,1,Interact,XC_2981
xcb01130,xcb01120,96,Interact,"XC_0020; XC_0031; XC_0032; XC_0098; XC_0162; XC_0204; XC_0441; XC_0443; XC_0444; XC_0469; XC_0474; XC_0527; XC_0529; XC_0539; XC_0540; XC_0550; XC_0553; XC_0588; XC_0662; XC_0686; XC_0725; XC_0775; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_0993; XC_0994; XC_1063; XC_1064; XC_1103; XC_1166; XC_1223; XC_1227; XC_1253; XC_1372; XC_1404; XC_1552; XC_1569; XC_1578; XC_1587; XC_1701; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2206; XC_2326; XC_2329; XC_2349; XC_2364; XC_2389; XC_2445; XC_2465; XC_2493; XC_2531; XC_2645; XC_2742; XC_2749; XC_2750; XC_2751; XC_2809; XC_2822; XC_2881; XC_2943; XC_2975; XC_3050; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3421; XC_3488; XC_3544; XC_3608; XC_3655; XC_3689; XC_3691; XC_3854; XC_3941; XC_4082; XC_4149; XC_4170; XC_4205; XC_4244"
xcb00010,xcb00010,32,Interact,"XC_0098; XC_0104; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb00640,xcb00903,1,Interact,XC_2975
xcb00562,xcb00627,1,Interact,XC_3473
xcb01130,xcb01130,202,Interact,"XC_0020; XC_0031; XC_0032; XC_0098; XC_0100; XC_0112; XC_0162; XC_0204; XC_0356; XC_0391; XC_0441; XC_0443; XC_0444; XC_0467; XC_0469; XC_0473; XC_0474; XC_0481; XC_0483; XC_0484; XC_0509; XC_0510; XC_0527; XC_0529; XC_0530; XC_0539; XC_0540; XC_0548; XC_0550; XC_0553; XC_0581; XC_0588; XC_0623; XC_0662; XC_0686; XC_0725; XC_0753; XC_0754; XC_0775; XC_0800; XC_0838; XC_0839; XC_0840; XC_0841; XC_0872; XC_0873; XC_0882; XC_0889; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0977; XC_0978; XC_0979; XC_0982; XC_0993; XC_0994; XC_1063; XC_1064; XC_1075; XC_1103; XC_1119; XC_1166; XC_1223; XC_1227; XC_1232; XC_1233; XC_1251; XC_1252; XC_1253; XC_1255; XC_1268; XC_1269; XC_1287; XC_1322; XC_1324; XC_1356; XC_1372; XC_1404; XC_1516; XC_1552; XC_1567; XC_1569; XC_1573; XC_1575; XC_1577; XC_1578; XC_1579; XC_1587; XC_1613; XC_1614; XC_1678; XC_1701; XC_1847; XC_1871; XC_1872; XC_1873; XC_1875; XC_1876; XC_1879; XC_1880; XC_1889; XC_1918; XC_1930; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2171; XC_2203; XC_2206; XC_2326; XC_2329; XC_2349; XC_2351; XC_2364; XC_2379; XC_2389; XC_2445; XC_2455; XC_2465; XC_2493; XC_2528; XC_2529; XC_2531; XC_2643; XC_2644; XC_2645; XC_2659; XC_2665; XC_2742; XC_2744; XC_2749; XC_2750; XC_2751; XC_2760; XC_2809; XC_2822; XC_2845; XC_2871; XC_2881; XC_2941; XC_2943; XC_2975; XC_3030; XC_3050; XC_3085; XC_3106; XC_3135; XC_3139; XC_3213; XC_3224; XC_3268; XC_3282; XC_3287; XC_3307; XC_3313; XC_3358; XC_3359; XC_3380; XC_3400; XC_3421; XC_3488; XC_3544; XC_3578; XC_3608; XC_3610; XC_3611; XC_3612; XC_3613; XC_3635; XC_3636; XC_3649; XC_3655; XC_3663; XC_3674; XC_3676; XC_3689; XC_3691; XC_3809; XC_3854; XC_3907; XC_3941; XC_3952; XC_3993; XC_4015; XC_4037; XC_4041; XC_4056; XC_4082; XC_4149; XC_4170; XC_4173; XC_4205; XC_4225; XC_4244; XC_4315"
xcb00010,xcb00030,6,Interact,"XC_0098; XC_0872; XC_0979; XC_2465; XC_3608; XC_3941"
xcb00640,xcb01040,1,Interact,XC_2975
xcb00562,xcb00521,1,Interact,XC_1838
xcb01130,xcb01200,77,Interact,"XC_0020; XC_0098; XC_0162; XC_0204; XC_0391; XC_0441; XC_0443; XC_0444; XC_0469; XC_0527; XC_0529; XC_0550; XC_0553; XC_0588; XC_0686; XC_0725; XC_0775; XC_0838; XC_0872; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_1063; XC_1064; XC_1166; XC_1223; XC_1232; XC_1255; XC_1404; XC_1578; XC_1587; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2326; XC_2329; XC_2364; XC_2465; XC_2531; XC_2645; XC_2742; XC_2749; XC_2750; XC_2751; XC_2822; XC_2881; XC_2943; XC_2975; XC_3135; XC_3139; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3488; XC_3544; XC_3655; XC_3689; XC_3691; XC_3854; XC_3993; XC_4037; XC_4082; XC_4149; XC_4170; XC_4205"
xcb00010,xcb00051,6,Interact,"XC_0098; XC_0872; XC_0979; XC_1587; XC_3608; XC_3941"
