"","mz","rt","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","M1","M2","M3","M4","M5","M6","M7","M8","X1","X2","X3","X4","X5","X6","X7","X8","H1","H2","H3","H4","H5","H6","H7","H8","H9","A1","A2","A3","A4","A5","A6","A7","A8","L1","L2","L3","L4","L5","L6","L7","L8","L9"
"3-Methylindole",132.0818812,402.421,121.354334360244,113.797498964542,102.548431571737,156.456109394239,116.217702541975,136.26515147598,111.237688553296,113.263893129532,99.8826691650786,122.081745078363,98.3542462978884,155.319526240267,121.349370899616,118.72139948036,99.0532112915333,115.41761549724,100.063727679809,117.859284402865,135.914959498401,132.048230800323,158.616103896275,143.473449593086,130.470511306269,171.175507945342,137.142624323593,108.867830926505,95.4653829304033,127.806054828164,114.51902590797,97.2905045827462,93.6623289505083,89.8120420960218,100.45858295713,106.687169827111,117.871500314778,122.598451871911,128.21242007778,110.563420338799,66.5608520459865,160.920111005929,147.202511691456,134.853589264456,109.132849719742,91.6420116719519,127.772672623238,143.56201029948,120.972046122147,63.6969414787775,134.164747949049,95.1516140433649,81.3745339759839,81.6104274256187
"Betaine",118.0866089,92.50575,98.4612499160962,123.21000090809,115.502066356744,88.5363055606091,81.6307216938068,94.4571401968036,118.153386474008,103.963810808532,97.4349324872295,123.521525969093,116.727495696976,108.077525810199,118.2957034189,137.179750813144,148.436278278163,123.25456447703,109.182247457779,110.572903228346,121.117409806455,115.175503234271,103.911973841454,86.8782069010231,105.446185696677,99.2274512424847,104.173484246473,151.128916339064,107.787109362811,89.6709002131624,79.3168066159633,85.5121174376308,114.567532627089,104.136072607837,81.5977473716086,104.345564502795,85.6324463073091,126.485028654357,108.46331839603,136.977889396903,117.523958618918,140.958759999473,212.183353834119,119.076981856364,101.26561677631,138.446671794638,89.0147889729862,86.8357741958317,100.297880031292,101.872142251625,106.418671227105,110.494825709098,100.146408807385,91.105814378341
"L-Arginine",175.1200434,289.75,5.22987608897634,12.1796114011716,10.8064583111902,13.2115272721666,11.7722156793812,13.0132423193335,9.97029211420878,10.7540471424972,4.74100130332637,14.2820801436385,34.3512969574242,6.4091916532454,9.67743638610563,45.025052746787,4.59659604859995,10.3816034679096,9.27135157588565,55.780703526001,30.2462446807101,11.0493348790259,27.5840760111623,61.6814960397164,308.56247170852,1099.85313223816,6.08547557534558e-05,29.4337379723248,320.948977180867,430.750318380704,219.722678689227,389.957445426858,551.653190021275,422.285774889933,351.946379798762,408.748547361681,300.197172834764,46.3228442088181,106.879248764155,163.522942946927,532.924961527574,85.0259069437638,36.0508590519184,82.2218791909866,100.177201841875,131.282352346235,97.6197725134177,235.527685246043,99.072777080277,299.594746918618,68.2296952775004,152.701000792745,179.094820862736,280.230174562768
"D-Fructose",181.0868108,639.217,118.601215257058,98.1471392791012,138.990586821843,93.6050918798127,92.9590509997236,79.415812373209,116.195970434575,175.510771118151,99.6162579853624,101.818549199165,99.8208333519839,52.4053284031256,122.34776850773,130.949560124788,187.364023467919,78.2471368114837,119.412885389424,132.96571553819,72.0895586002223,138.073941824225,70.5345056761727,88.0871124636876,70.3598139362954,78.4079530531721,92.3255135391562,273.958089235911,145.053948513114,129.045362832042,347.827133685916,197.716680611894,116.482409494163,374.799776292493,150.278087164194,89.4567453067546,140.048888933569,121.830299087468,76.9642413531834,82.1858439300875,166.867596862399,76.3715208955545,96.4672344329263,158.43409176925,122.956594035025,109.222656562614,138.418348576387,139.5797939589,100.557264624229,124.097009536731,98.2197400635032,169.146060122281,157.506054125604,207.069730684422
"L-Glutamic acid",146.0442088,84.31235,7.81741140666785,5.77818830955374,9.0296235246088,10.3559705292854,7.56651132840714,30.2722415901658,8.71142111255799,7.35713422066496,7.95371517061191,7.38734855240365,23.8273432410774,6.3025541015707,8.1081895389853,6.39726771090989,36.9954867534993,7.78842618239394,28.1489345833335,3.54483333607011,38.2566417813416,5.24088749083219,30.9009578999897,11.3801998346924,32.1683421190296,8.70008619784942,8.7985690806088,25.2509637597678,4.76030615773773,4.55700133652884,4.40129924432837,4.50905588440813,4.8587821903896,23.3154259107596,6.03463917411904,22.979370090222,6.46395334408692,55.4588036610846,12.7517014193514,36.3007442196552,9.61006111275232,8.44823663596888,6.69619963688946,57.3989734312398,41.5754433013924,4.3146966686821,26.9751824771414,5.21112953408426,4.90209032735863,7.15319938517195,3.94824724160058,8.66496933610596,7.63624765494009,15.8200514591064
"Cadaverine",102.0557334,146.604,67.1299807082773,108.215733401285,77.0486695009959,85.4362955466366,85.0469709259187,90.55348671788,85.3782829445838,85.9845428244591,76.5985174457579,83.7968826664342,84.4146559166915,85.5657307154013,85.4868643871027,80.7053498748472,94.5872666162202,80.2709178628589,75.9075929701678,83.6599681824725,84.9245486105964,83.5931419884076,76.9688363882306,78.592938585011,82.2493399855478,74.9344850446568,87.6892849619211,64.4711695517212,97.4794078065922,63.9005896277201,67.1189617710099,55.4864329767114,80.8368681053338,67.7503808398208,58.2526982576676,68.8853131835083,93.5596176154672,101.276428300271,76.2580723287493,80.825242769503,63.8102192876331,82.5279144284844,97.7412950897668,78.8553056237422,68.7363386836121,67.3903410862723,68.7812474162698,52.6649596528095,72.3035101820611,79.8449312865329,79.0517410538315,77.0252327133721,73.1726122343603,72.971949863831
"Thymine",127.0509436,342.966,83.7153089581104,77.3665090467704,44.8926181821689,63.5805617784094,73.1011088345223,79.3397049314176,72.9658633808241,63.5013358963192,79.5058562619018,96.4682164607179,74.7658762573509,86.2420410275333,44.7900291948271,83.8268537767026,79.5063103913333,91.1867179545484,120.971004535668,93.4584378656368,75.9350192246733,69.2458751836784,74.5351055647057,64.0755664991473,49.1186622375729,95.2523636426639,52.8252886523036,118.243869100123,91.4544284825461,97.736743584998,67.6552813880322,67.1628390196907,84.1138849090794,82.2743964114387,79.930038266704,98.6830054631586,81.458874469439,63.6826920463422,61.6692787404793,60.2990857017343,87.1889005535755,82.6333234515026,96.8703383530274,69.8117527343899,74.1689300444869,79.8904423620637,60.9782079460872,55.107927153157,75.7113814994578,60.5489183050032,71.2186255858955,62.1164727598926,62.9930649594817,62.4216743985767
"L-Isoleucine",132.1027209,203.46,55.8865344822741,60.6236699455716,56.6939560713018,64.0737389379045,55.0282679896538,56.0977244405845,55.3704202482143,50.1152461538507,51.911929943379,57.8023904874115,57.0081814500905,75.6881067202018,55.3211112572888,62.1216670253525,57.1397399652607,66.9462435587205,61.5266738019098,57.6156380316577,69.7650561261804,61.7109599565911,71.1746531628951,80.2790861816433,73.7273930990093,81.0149681525145,93.4284918892055,62.2783812880928,60.9462560276762,60.2736612473851,75.3740058116614,48.9922046427327,61.5739732271067,60.3881821715822,65.7121725497143,67.7657551106841,69.4725904423069,66.1864293118111,74.3967837830848,72.6647541985653,80.8457941515189,86.5007282878954,66.2851204149883,71.4451518431623,77.5984141404499,49.870060021493,65.3309441000949,71.0150883187285,58.9334555244316,59.4916854787796,59.6944962810856,58.4907786250882,53.9559646444424,48.8939920855373
"Glycocholic acid",466.3199815,710.226,75.4912523259072,67.3272258577401,85.6632441762591,130.797834453139,3.492043525976,71.7061178782771,18.5463399759853,63.102053347318,74.5215220048071,11.4533763655442,50.3378384011623,2.94672510795564,2.71296540806511,71.146303967442,112.876319337998,108.698724831821,80.8818614815585,88.3812419610598,263.651582974982,235.843837091702,725.067793556971,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,6.08547557534558e-05,78.7397086797236,328.320960902873,137.492509459754,141.318072566326,82.49217914454,7.09259001723179,5.50490060151983,6.09150099548066,22.3653428359496,23.7903244144232
"Oxoglutaric acid",146.0609557,508.387,48.4663406585383,48.1353073495755,102.543805614882,77.2825612987335,32.6883635545683,37.8775942723065,65.3904928044241,35.2050505481954,57.2122319579562,50.7327811961795,66.0675363090678,99.5794394393343,54.4331203275747,80.8499832849058,84.1000156834323,87.4177635577814,38.2605172097199,122.995878432655,29.1022420236751,51.9858526147957,88.5259658628509,37.2772047802571,43.5390621787407,56.8011341982011,50.7871986989273,127.067399485589,49.0186652990045,42.8439656974877,28.6714266059275,45.5949943943774,46.3825274117445,39.8043473224081,28.1996821799688,43.9017887259643,29.7327572342904,46.4635991240597,22.2197216968806,36.7133695224155,50.3136096666847,68.0600707429584,43.1633580957975,30.0762938008276,33.1699096077058,53.7556218171421,65.9407654027755,77.7716483120796,77.8756749243812,30.8866696015308,37.9544238625362,40.6397359520024,43.5456174680491,50.2731015338546
"1H-Indole-3-acetamide",175.0877306,287.658,18.7096045429829,28.9246065717614,21.0014974724916,41.611133956321,14.9547673652162,16.3646013404018,11.8337732745043,11.0177833910788,16.3146032851309,11.4087571637532,5.59087923933818,6.00570113322939,7.67751463491146,10.3191875044441,7.32061172334279,10.1312681638169,11.4440729265795,10.655663421131,37.072532699963,3.75062812238944,15.2204341459821,13.9544879722033,9.59128709252625,17.2012418019257,12.4499489617437,16.8178185139383,13.4414939355149,14.7243633372583,7.75569046804226,7.01991441426162,13.7607413654362,17.2389221717145,9.15800982905446,13.344405055343,19.858102546868,17.510499997494,15.5114963015227,20.5526421880715,8.21757504910532,18.8351369984297,12.9424470833877,32.2742109518692,20.4572702878646,6.44258133146449,15.8002121378088,27.2954796639661,18.5241922329925,16.6312108940435,21.1162752908794,12.2727402386021,11.6052990127683,12.9177534518098
"Picolinic acid",124.0880698,793.237,2.28081174803777,2.30917901768343,0.722981833520357,0.145362138329035,0.650437675989916,1.94913869010632,1.38023516838885,1.64061158866438,0.582429804805287,0.476397323958872,0.226288218355731,0.0624528242719847,0.586788111179434,0.598803620464696,0.615305299244744,0.344583922344371,0.320734431346293,0.342041826660249,0.124982337387942,0.102437779203528,0.884183867104427,0.109292264112638,1.3625963252336,4.73254138003594,6.71699794347025,1.46084918016265,0.208785092910957,4.81502590993107,4.45645206695426,1.61457044716522,0.329971469999981,0.852712252245624,1.92885268474072,4.44419260097956,0.790263560587921,0.591954262258096,0.99483075668923,5.27947517273486,2.75690922977628,9.83163071704585,1.68700724395513,8.07959762406201,4.51841747274602,0.812524299078721,9.5414894377604,1.89369742128757,15.0455490159041,4.08634249775338,2.41431803094561,4.21338948363709,8.12779708181326,2.42265201123057
