koid	org	name	op	definition	source
KO00191	224308	cggRgapA	BSU33940,BSU33950		11489127
KO00192	224308	lctEP	BSU03050,BSU03060		11698370
KO00193	224308	hemEHY	BSU10120,BSU10130,BSU10140		7928957
KO00194	224308	pgiyugMN	BSU31330,BSU31340,BSU31350		7592393
KO00195	224308	yvyD	BSU35310		9852014
KO00196	224308	ctaB	BSU14880		9829923
KO00197	224308	mtrBA	BSU22770,BSU22780		1551827 2123343
KO00198	224308	yciC	BSU03360		12426338
KO00199	224308	ptsHI	BSU13900,BSU13910		9323362 2497294 3106335 9765562 10543968
KO00200	224308	glnRA	BSU17450,BSU17460		12142436 7642136 1677938
KO00201	224308	opuEsapB	BSU06650,BSU06660		9701821
KO00202	224308	asnB-ytnA	BSU30540,BSU30530		10498721
KO00203	224308	lepA	BSU25500,BSU25510		8757728
KO00204	224308	dnaA	BSU00010		11395445
KO00205	224308	blt	BSU26590,BSU26600		7608059
KO00206	224308	dltABCDE	BSU38500,BSU38510,BSU38520,BSU38530,BSU38540		7797557
KO00207	224308	adaAB	BSU01810,BSU01820		9455480
KO00208	224308	kipIA	BSU04080,BSU04090		9334321
KO00209	224308	ywsC-ywtABC	BSU35870,BSU35880,BSU35890,BSU35900		11751809
KO00210	224308	ycdHIyceA	BSU02850,BSU02860,BSU02870		12426338 9811636
KO00211	224308	lytD	BSU35780		7934877 7581999
KO00212	224308	yxbBAyxnBasnHyxaM	BSU39890,BSU39900,BSU39910,BSU39920,BSU39930		10746760 10498721
KO00213	224308	ytgABCD	BSU30740,BSU30750,BSU30760,BSU30770		10760146
KO00214	224308	comG	BSU24670,BSU24680,BSU24690,BSU24700,BSU24710,BSU24720,BSU24730		9723928
KO00215	224308	bkd	BSU24030,BSU24040,BSU24050,BSU24060,BSU24070,BSU24080,BSU24090		10094682 12427936
KO00216	224308	iolABCDEFGHIJ	BSU39670,BSU39680,BSU39690,BSU39700,BSU39710,BSU39720,BSU39730,BSU39740,BSU39750,BSU39760		11566986 11807058 10746760
KO00217	224308	ahpCF	BSU40090,BSU40100		8932315 8932314
KO00218	224308	pgi	BSU31350		7592393
KO00219	224308	dnaB	BSU28960,BSU28970,BSU28980,BSU28990		9427839
KO00220	224308	bdbDC	BSU33470,BSU33480		11744713
KO00221	224308	hrcA-dnaK	BSU25470,BSU25480,BSU25490		10383760
KO00222	224308	yckAB	BSU03370,BSU03380		12426338
KO00223	224308	licST	BSU39070,BSU39080		8990303
KO00224	224308	yxaAB	BSU40030,BSU40040		10746760
KO00225	224308	ydaDEFG	BSU04190,BSU04200,BSU04210,BSU04220		10220166
KO00226	224308	yfiY	BSU08440		12354229
KO00227	224308	argC-F	BSU11190,BSU11200,BSU11210,BSU11220,BSU11230,BSU11240,BSU11250		8025667 7511775 7540694
KO00228	224308	levDEFG-sacC	BSU27030,BSU27040,BSU27050,BSU27060,BSU27070		10217795 7592487
KO00229	224308	glyA	BSU36900		11591660
KO00230	224308	mreBCD-minCD	BSU27990,BSU28000,BSU28010,BSU28020,BSU28030		8387996 1400224
KO00231	224308	iolT	BSU06230		11807058
KO00232	224308	deoR-dra-nupC-pdp	BSU39400,BSU39410,BSU39420,BSU39430		10746760
KO00233	224308	tasA-sipW	BSU24620,BSU24630		10368135
KO00234	224308	bglA	BSU40110		8990303
KO00235	224308	dnaJ-yqeV	BSU25430,BSU25440,BSU25450,BSU25460		10383760
KO00236	224308	menBE	BSU30790,BSU30800		1629163
KO00237	224308	yqhZ-folD	BSU24310,BSU24320		11591660
KO00238	224308	lytABC	BSU35620,BSU35630,BSU35640		9158733 1357079
KO00239	224308	asnO	BSU10790		10498721
KO00240	224308	glpD	BSU09300		8436953 1335945
KO00241	224308	iolRS	BSU39770,BSU39780		11807058 11566986
KO00242	224308	ponA	BSU22310,BSU22320		10692371 7814321
KO00243	224308	sspL	BSU22000		10333516
KO00244	224308	yxbCD	BSU39870,BSU39880		10746760
KO00245	224308	ydaFG	BSU04210,BSU04220		10220166
KO00246	224308	pfk-pykA	BSU29190,BSU29180		11489127
KO00247	224308	ipi	BSU11120,BSU11130		8226659
KO00248	224308	phoPR	BSU29100,BSU29110		8830275 8088554 8113174
KO00249	224308	xpt-pbuX	BSU22060,BSU22070		11591660 9098051
KO00250	224308	pucABCDE	BSU32470,BSU32480,BSU32490,BSU32500,BSU32510		12029039
KO00251	224308	trePA	BSU07800,BSU07810		8755887
KO00252	224308	resDE	BSU23110,BSU23120		8631715 8682783 9988472
KO00253	224308	resABCDE	BSU23110,BSU23120,BSU23130,BSU23140,BSU23150		10972837 9988472 8631715 11698370
KO00254	224308	rsbPQ	BSU34100,BSU34110	stress response	11591687 10632888
KO00255	224308	sspH	BSU08110		10333516
KO00256	224308	yxjJI	BSU38930,BSU38940		10746760
KO00257	224308	yxeRyxxB	BSU39440,BSU39450		10746760
KO00258	224308	glpP	BSU09270		8436953 1335945
KO00259	224308	tagABC	BSU35750,BSU35760,BSU35770		7934877 1906926
KO00260	224308	clpC	BSU00830,BSU00840,BSU00850,BSU00860,BSU00870,BSU00880		9141693
KO00261	224308	mrp	BSU31580,BSU31600,BSU31610,BSU31620,BSU31630,BSU31640,BSU31650,BSU31660,BSU31600,BSU31610,BSU31620,BSU31630,BSU31640,BSU31650,BSU31660		11004162
KO00262	224308	grpE-dnaK	BSU25470,BSU25480		10383760
KO00263	224308	perP	BSU10670,BSU10680,BSU10690,BSU10700,BSU10710,BSU10720		10715007
KO00264	224308	wapAyxxG	BSU39220,BSU39230		10746760
KO00265	224308	nfrAywcH	BSU38100,BSU38110		10913069
KO00266	224308	sbo-alb	BSU37350,BSU37360,BSU37370,BSU37380,BSU37390,BSU37400,BSU37410,BSU37420,BSU37430	antilisterial bacteriocin subtilosin	10809709 10572140
KO00267	224308	dhbACEBF	BSU31960,BSU31970,BSU31980,BSU31990,BSU32000		12354229
KO00268	224308	nasBC	BSU03310,BSU03320		8682783
KO00269	224308	pur	BSU06420,BSU06430,BSU06440,BSU06450,BSU06460,BSU06470,BSU06480,BSU06490,BSU06500,BSU06510,BSU06520,BSU06530		10784038 7638212
KO00270	224308	yxiMdeaD	BSU39110,BSU39120		10746760
KO00271	224308	yczAycbK	BSU02530,BSU02540		10706627
KO00272	224308	lytR	BSU35650		1357079
KO00273	224308	spo0F	BSU37130		11489127
KO00274	224308	tagGH	BSU35700,BSU35710		7565096 10648531
KO00275	224308	proHJ	BSU18480,BSU18470		12562800
KO00276	224308	qoxABCD	BSU38140,BSU38150,BSU38160,BSU38170		7495838 1316894 9829923
KO00277	224308	yxeFGH	BSU39550,BSU39560,BSU39570		10746760
KO00278	224308	ycbCDEFGHJ	BSU02460,BSU02470,BSU02480,BSU02490,BSU02500,BSU02510,BSU02520		12044674
KO00279	224308	sspNtlp	BSU18020,BSU18030		10333516
KO00280	224308	bmrUbmr	BSU24000,BSU24010		10220166
KO00281	224308	gltAB	BSU18440,BSU18450		12193635
KO00282	224308	yocK	BSU19240		10220166
KO00283	224308	ypeB-sleB	BSU22920,BSU22930		12177332
KO00284	224308	yabPQ-divIC-yabR	BSU00600,BSU00610,BSU00620,BSU00630		11283287
KO00285	224308	sacXY	BSU38410,BSU38420		8535520
KO00286	224308	ans	BSU23570,BSU23580		1711029
KO00287	224308	yfiZyfhA	BSU08450,BSU08460		12354229
KO00288	224308	trePAR	BSU07800,BSU07810,BSU07820		11191810
KO00289	224308	lysS	BSU00820		9084182
KO00290	224308	ylsMffh	BSU15950,BSU15970		10075418
KO00291	224308	glpTQ	BSU02130,BSU02140		8012593 11929549
KO00292	224308	katByxiS	BSU39040,BSU39050		10746760
KO00293	224308	spoIVF	BSU27970,BSU27980		1577688 8021176 1942049
KO00294	224308	prfBsecA	BSU35290,BSU35300		9882663
KO00295	224308	bmrU	BSU24000		10220166
KO00296	224308	pucH	BSU32410		12029039
KO00297	224308	cgeAB	BSU19780,BSU19790		7592393
KO00298	224308	ytxGHI	BSU29760,BSU29770,BSU29780		11254139
KO00299	224308	bioWAFDB	BSU30200,BSU30210,BSU30220,BSU30230,BSU30240		
KO00300	224308	petCBD	BSU22540,BSU22550,BSU22560		8631715 8682783
