geneID,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
"1,77",0.098951066,0.010703532,0.108626472,0.009283738,0.011958092,0.312067024,0.012349759,0.129023769,0.062605567,0.199664635,0.012111087,0.023763188,0.008892071
"1,79",0.041589804,0.015170935,0.104501569,0.019105915,0.022861216,0.308551544,0.006696054,0.165886059,0.052969502,0.197647397,0.043793872,0.014212645,0.007013488
"1,81",0.04524044,0.01627849,0.102606694,0.016824271,0.011508845,0.293671322,0.010292704,0.168260503,0.052092356,0.199251332,0.071657392,0.005962056,0.006353594
"1,83",0.030777799,0.012507265,0.171862892,0.016684425,0.015267823,0.367838289,0.008820467,0.031607177,0.059636527,0.204487117,0.062851124,0.009159483,0.008499613
"1,85",0.128346605,0.010445119,0.104883108,0.009386615,0.0096847,0.342042669,0.010007118,0.04182306,0.110321627,0.203901863,0.011053454,0.009453532,0.00865053
"1,87",0.101245593,0.008179922,0.101038197,0.010686967,0.012047237,0.311361612,0.010388074,0.131421635,0.055386793,0.197739389,0.040082226,0.009729288,0.010693067
"1,89",0.039064073,0.006984357,0.053832479,0.010971309,0.008802361,0.275243503,0.01314601,0.241196201,0.098580691,0.180235535,0.039478302,0.027108971,0.005356208
"1,91",0.101241088,0.009399368,0.139104463,0.008842826,0.009999196,0.340201468,0.016974517,0.030300594,0.069870697,0.205493683,0.041252095,0.022175088,0.005144917
"1,93",0.137411056,0.009031469,0.087873594,0.007692618,0.009181512,0.328987841,0.016118142,0.03520253,0.10598847,0.192517443,0.044032017,0.021150373,0.004812936
"1,95",0.142301013,0.02024657,0.084465171,0.014139823,0.020091314,0.338194197,0.011908732,0.0370315,0.108771405,0.202597955,0.006779525,0.006089497,0.007383299
"1,97",0.123145337,0.009052031,0.120578162,0.008820863,0.011972041,0.348126023,0.010852704,0.035228704,0.088123468,0.214857984,0.012197125,0.008875614,0.008169945
"1,99",0.123245889,0.022128321,0.139949125,0.006956165,0.02286975,0.341623668,0.009536095,0.0324179,0.071026426,0.206912765,0.01025944,0.007956792,0.005117664
"1,101",0.135320243,0.013426423,0.090587625,0.015502239,0.015858265,0.313393838,0.007820514,0.035994883,0.122859315,0.207352249,0.021578827,0.013595385,0.006710194
