genes,logFC,logCPM,F,PValue
SK_0493,0.096665681,5.816875,4.54E-02,8.41E-01
SK_0494,0.11308655,6.418383,3.05E-02,8.66E-01
SK_0495,-1.458381525,6.581859,1.25E+01,1.76E-02
SK_0496,-0.496219301,6.924022,6.01E-01,4.61E-01
SK_0497,-0.23215365,6.083238,2.57E-01,6.57E-01
SK_0498,1.212181157,6.386975,5.42E+00,4.89E-02
SK_0499,-0.066261283,8.268479,3.63E-02,9.26E-01
SK_0500,-1.018566297,6.074197,6.02E+00,5.33E-02
SK_0501,0.32750743,8.383646,1.26E+00,6.41E-01
SK_0502,0.914019623,8.911725,9.59E+00,1.66E-01
SK_0503,0.446363474,6.260439,3.33E-01,5.80E-01
SK_0504,-0.485637159,9.71015,3.97E+00,4.78E-01
SK_0505,-1.788771653,8.656383,6.44E+00,3.53E-02
SK_0506,-2.35430668,8.732125,6.06E+00,3.96E-02
SK_0507,-0.868069588,6.378079,2.07E+00,1.89E-01
SK_0508,-0.251607591,6.664458,1.15E-01,7.44E-01
SK_0509,2.237975932,10.381379,4.90E+00,5.83E-02
SK_0510,-1.125686025,6.082595,6.41E+00,3.57E-02
SK_0511,-0.490899643,6.042804,1.35E+00,3.43E-01
SK_0512,0.285066582,10.113889,1.28E+00,6.92E-01
SK_0513,-0.662571844,7.426843,5.59E-01,4.76E-01
SK_0514,-0.592525851,6.583816,1.84E+00,3.27E-01
SK_0515,-0.541252985,6.269585,9.35E-01,3.62E-01
SK_0516,-0.295699358,11.206628,2.04E-02,8.90E-01
SK_0517,2.466462883,8.821444,4.57E+00,6.55E-02
SK_0518,0.393264089,6.201734,4.16E-01,5.37E-01
SK_0519,-0.392005687,13.021473,3.23E+00,4.62E-01
SK_0520,-0.363994269,8.515853,1.14E-01,7.44E-01
SK_0521,-0.933062568,8.169603,8.95E-01,3.72E-01
SK_0522,-0.526535426,6.262644,1.11E+00,3.41E-01
SK_0523,0.721186089,8.88934,8.04E+00,2.74E-01
SK_0524,-0.149201902,7.952822,2.19E-01,8.40E-01
SK_0525,0.428895967,9.681514,2.35E+00,5.29E-01
SK_0526,0.895974942,7.023,3.39E+00,1.85E-01
SK_0527,-0.220652846,5.894695,1.65E-01,6.95E-01
SK_0528,0.149667448,6.487654,1.26E-01,7.99E-01
SK_0529,1.328458048,8.260576,5.99E+00,6.74E-02
SK_0530,-1.06410151,5.970318,6.92E+00,3.72E-02
SK_0531,-0.54755945,7.032918,7.30E-01,4.18E-01
SK_0532,-0.19952361,6.773117,1.30E-01,7.52E-01
SK_0533,0.908368964,7.891621,3.07E+00,2.23E-01
SK_0534,0.875644052,10.401644,8.91E+00,2.41E-01
SK_0535,-0.763319688,6.308861,3.35E+00,1.75E-01
SK_0536,-1.301498686,7.816417,2.70E+00,1.39E-01
SK_0537,-5.514816106,10.034342,1.31E+02,3.47E-06
SK_0538,-1.164978835,8.709966,2.58E+00,1.47E-01
SK_0539,-0.431106713,7.001808,5.62E-01,5.19E-01
SK_0540,-1.740904327,9.08951,4.61E+00,6.46E-02
SK_0541,-0.863310295,7.106316,1.46E+00,2.63E-01
SK_0542,-1.018772482,7.168952,6.45E+00,1.44E-01
SK_0543,0.082947648,8.128994,3.86E-03,9.52E-01
SK_0544,-1.326944047,9.872988,3.64E+00,9.36E-02
SK_0545,-0.295543242,6.296582,3.06E-01,5.96E-01
SK_0546,-0.403278255,6.930469,2.48E-01,6.32E-01
SK_0547,-0.925826666,6.419143,1.87E+00,2.09E-01
SK_0548,-1.008505861,6.417685,2.60E+00,1.46E-01
SK_0549,0.800554299,11.100129,5.61E-01,4.76E-01
SK_0550,2.937974349,8.787281,7.89E+00,2.32E-02
SK_0551,-1.018058853,8.78483,1.01E+00,3.44E-01
SK_0552,0.082938568,12.200412,1.47E-01,8.97E-01
SK_0553,-0.611837906,7.881852,1.74E+00,4.10E-01
SK_0554,-0.62359879,6.12141,1.62E+00,2.41E-01
SK_0555,-0.095358665,8.982812,9.02E-02,8.84E-01
SK_0556,-1.05579237,10.699651,1.43E+01,1.65E-01
SK_0557,-1.297301084,6.387456,7.74E+00,2.55E-02
SK_0558,-0.100490219,12.186459,2.44E-01,8.76E-01
SK_0559,0.482792134,6.205524,1.09E+00,3.75E-01
SK_0560,-0.531613221,6.425084,1.19E+00,3.59E-01
SK_0561,0.744387857,6.730346,3.05E+00,2.36E-01
SK_0562,0.043804338,8.455774,1.53E-02,9.50E-01
SK_0563,-2.414615206,7.583668,3.08E+01,1.76E-03
SK_0564,0.057391364,12.329644,6.01E-02,9.27E-01
SK_0565,-0.891885484,9.363041,6.33E+00,1.79E-01
SK_0566,-2.149415096,11.289225,3.07E+01,5.02E-03
SK_0567,-1.162178483,7.184244,3.88E+00,9.77E-02
SK_0568,0.055315185,9.575568,6.19E-02,9.34E-01
SK_0569,-0.73338244,6.371666,2.37E+00,2.00E-01
SK_0570,-0.211708811,6.502944,1.50E-01,7.20E-01
SK_0571,-0.295345429,8.346195,9.25E-01,6.76E-01
SK_0572,-1.018542467,6.500762,2.16E+00,1.80E-01
SK_0573,-0.294131539,8.652295,1.20E+00,6.63E-01
SK_0574,-0.023288956,11.347806,1.12E-02,9.75E-01
SK_0575,-0.871222562,8.059218,1.97E+00,2.37E-01
SK_0576,0.159020445,9.635724,4.34E-01,8.14E-01
SK_0577,0.085058076,7.827889,6.18E-02,9.09E-01
