# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
glnP,srfAA_Knockout,srfAA,Knockout,0.0125,0.0100,-0.0026,-20.3974,-0.0026,0
glnQ,srfAA_Knockout,srfAA,Knockout,-0.0034,0.0054,0.0088,255.8679,0.0088,0
glnH,srfAA_Knockout,srfAA,Knockout,0.0124,0.0023,-0.0101,-81.3536,-0.0101,0
proP,srfAA_Knockout,srfAA,Knockout,-0.0146,0.0133,0.0279,190.9815,0.0279,0
proV,srfAA_Knockout,srfAA,Knockout,-0.0030,-0.0223,-0.0193,-648.5612,-0.0193,0
proW,srfAA_Knockout,srfAA,Knockout,-0.0071,0.0068,0.0140,195.9921,0.0140,0
proX,srfAA_Knockout,srfAA,Knockout,0.0231,-0.0050,-0.0281,-121.8180,-0.0281,0
gltP,srfAA_Knockout,srfAA,Knockout,0.0127,-0.0042,-0.0169,-133.0966,-0.0169,0
gltS,srfAA_Knockout,srfAA,Knockout,-0.0027,0.0087,0.0114,416.5557,0.0114,0
gltT,srfAA_Knockout,srfAA,Knockout,0.0023,-0.0124,-0.0147,-637.4789,-0.0147,0
dctA,srfAA_Knockout,srfAA,Knockout,0.0009,0.0117,0.0108,1254.2574,0.0108,0
dctB,srfAA_Knockout,srfAA,Knockout,0.0142,0.0070,-0.0072,-50.5739,-0.0072,0
dctP,srfAA_Knockout,srfAA,Knockout,0.0056,-0.0096,-0.0152,-269.5390,-0.0152,0
citM,srfAA_Knockout,srfAA,Knockout,0.0199,-0.0077,-0.0276,-138.6745,-0.0276,0
citH,srfAA_Knockout,srfAA,Knockout,-0.0081,0.0074,0.0155,190.7319,0.0155,0
citP,srfAA_Knockout,srfAA,Knockout,0.0049,-0.0046,-0.0095,-192.7924,-0.0095,0
mntH,srfAA_Knockout,srfAA,Knockout,0.0018,0.0002,-0.0016,-91.3322,-0.0016,0
mntD,srfAA_Knockout,srfAA,Knockout,0.0035,0.0035,-0.0000,-1.0189,-0.0000,0
feuA,srfAA_Knockout,srfAA,Knockout,0.0180,0.0081,-0.0099,-54.8386,-0.0099,0
feuB,srfAA_Knockout,srfAA,Knockout,-0.0105,-0.0000,0.0104,99.6817,0.0104,0
feuC,srfAA_Knockout,srfAA,Knockout,-0.0097,-0.0045,0.0051,53.0853,0.0051,0
feuD,srfAA_Knockout,srfAA,Knockout,-0.0047,0.0241,0.0288,611.6314,0.0288,0
fhuB,srfAA_Knockout,srfAA,Knockout,-0.0155,0.0004,0.0159,102.6400,0.0159,0
fhuC,srfAA_Knockout,srfAA,Knockout,-0.0001,-0.0089,-0.0087,-5978.1547,-0.0087,0
fhuD,srfAA_Knockout,srfAA,Knockout,0.0107,0.0055,-0.0053,-48.9816,-0.0053,0
fhuG,srfAA_Knockout,srfAA,Knockout,0.0095,-0.0024,-0.0119,-125.7794,-0.0119,0
murA,srfAA_Knockout,srfAA,Knockout,-0.0113,0.0012,0.0125,110.8400,0.0125,0
murB,srfAA_Knockout,srfAA,Knockout,-0.0040,-0.0052,-0.0012,-29.4753,-0.0012,0
murC,srfAA_Knockout,srfAA,Knockout,-0.0219,-0.0110,0.0109,49.9646,0.0109,0
murD,srfAA_Knockout,srfAA,Knockout,-0.0189,-0.0126,0.0063,33.1893,0.0063,0
murE,srfAA_Knockout,srfAA,Knockout,-0.0178,-0.0130,0.0049,27.3046,0.0049,0
murF,srfAA_Knockout,srfAA,Knockout,-0.0221,-0.0059,0.0162,73.3155,0.0162,0
murG,srfAA_Knockout,srfAA,Knockout,-0.0172,-0.0016,0.0156,90.7325,0.0156,0
ddlA,srfAA_Knockout,srfAA,Knockout,-0.0146,-0.0062,0.0084,57.6943,0.0084,0
ddlB,srfAA_Knockout,srfAA,Knockout,-0.0240,-0.0085,0.0156,64.7662,0.0156,0
