# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
kr1,-1899.5833,-1899.5833,-1899.5833,-1899.5833,-1899.5833,-1899.5833
kr2,-260.0466,-260.0466,-260.0466,-260.0466,-260.0466,-260.0466
ks1,-465.3387,-465.3387,-465.3387,-465.3387,-465.3387,-465.3387
ks2,-577.9759,-577.9759,-577.9759,-577.9759,-577.9759,-577.9759
ks3,-277.5310,-277.5310,-277.5310,-277.5310,-277.5310,-277.5310
leuA,-203.4768,-203.4768,-203.4768,-203.4768,-203.4768,-203.4768
leuB,-171.7625,-171.7625,-171.7625,-171.7625,-171.7625,-171.7625
leuC,-834.3068,-834.3068,-834.3068,-834.3068,-834.3068,-834.3068
leuD,-13.2239,-13.2239,-13.2239,-13.2239,-13.2239,-13.2239
ligA,-6.2084,-6.2084,-6.2084,-6.2084,-6.2084,-6.2084
ligB,-31.8696,-31.8696,-31.8696,-31.8696,-31.8696,-31.8696
ligC,154.0845,154.0845,154.0845,154.0845,154.0845,154.0845
lpd,-134.9590,-134.9590,-134.9590,-134.9590,-134.9590,-134.9590
lutP,-97.8522,-97.8522,-97.8522,-97.8522,-97.8522,-97.8522
lutR,-48.2310,-48.2310,-48.2310,-48.2310,-48.2310,-48.2310
lysA,58.2722,58.2722,58.2722,58.2722,58.2722,58.2722
lysC,-90.0584,-90.0584,-90.0584,-90.0584,-90.0584,-90.0584
malonyl,-333.4025,-333.4025,-333.4025,-333.4025,-333.4025,-333.4025
map,49.6225,49.6225,49.6225,49.6225,49.6225,49.6225
mdh,207.6601,207.6601,207.6601,207.6601,207.6601,207.6601
metA,39.1277,39.1277,39.1277,39.1277,39.1277,39.1277
metB,0.4420,0.4420,0.4420,0.4420,0.4420,0.4420
metC,-133.5294,-133.5294,-133.5294,-133.5294,-133.5294,-133.5294
metE,-51.7711,-51.7711,-51.7711,-51.7711,-51.7711,-51.7711
metF,-22.0419,-22.0419,-22.0419,-22.0419,-22.0419,-22.0419
metH,-44.4532,-44.4532,-44.4532,-44.4532,-44.4532,-44.4532
