# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
metE,0.0147,0.0147,0.0147,0.0147,0.0147,0.0147
metF,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
metH,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
methyl,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
minC,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
minD,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
minE,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
mntA,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243
mntB,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064
mntC,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029
mntD,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
mntH,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135
mreB,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024
mreC,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
mreD,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
msaAB,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
msaB,-0.0089,-0.0089,-0.0089,-0.0089,-0.0089,-0.0089
murA,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
murB,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
murC,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
murD,-0.0149,-0.0149,-0.0149,-0.0149,-0.0149,-0.0149
murE,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127
murF,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
murG,-0.0066,-0.0066,-0.0066,-0.0066,-0.0066,-0.0066
mutH,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062
mutL,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
mutS,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
mycA,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
mycB,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
mycC,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
ndh,-0.0100,-0.0100,-0.0100,-0.0100,-0.0100,-0.0100
nuoA,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127
nuoB,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172
nuoC,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
nuoD,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255
nuoE,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
nuoF,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252
oppA,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
oppB,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
oppC,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163
oppD,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133
oppF,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
parC,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005
parE,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
pbpA,-0.0174,-0.0174,-0.0174,-0.0174,-0.0174,-0.0174
pbpB,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021
pbpC,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
pbpD,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093
pbpE,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
perR,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
pheA,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023
phrC,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
pksA,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
pksB,0.0080,0.0080,0.0080,0.0080,0.0080,0.0080
pksC,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102,-0.0102
pksD,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
pksE,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009
pksM,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062
pksN,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013
pksR,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
pksS,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
polA,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
polC,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
prfA,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
prfB,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
prfC,-0.0105,-0.0105,-0.0105,-0.0105,-0.0105,-0.0105
proP,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
proV,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
proW,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187
proX,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
qoxA,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
qoxB,-0.0166,-0.0166,-0.0166,-0.0166,-0.0166,-0.0166
qoxC,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
qoxD,-0.0137,-0.0137,-0.0137,-0.0137,-0.0137,-0.0137
qoxE,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102
