Gene	Intercept	Parents	Coefficients	ResidualSD	RSquared
dnaD	0.000000			0.989949	0.0000
dnaE	0.000000			0.989949	0.0000
dnaF	-0.000000			0.989949	0.0000
polA	0.000000			0.989949	0.0000
polC	0.000000			0.989949	0.0000
yorM	-0.000000	dat	0.503845	0.872745	0.2539
recA	-0.000000			0.989949	0.0000
recB	0.000000			0.989949	0.0000
recC	-0.000000			0.989949	0.0000
recD	0.000000			0.989949	0.0000
recE	-0.000000			0.989949	0.0000
recF	0.000000			0.989949	0.0000
recG	-0.000000			0.989949	0.0000
uvrA	-0.000000			0.989949	0.0000
uvrB	0.000000			0.989949	0.0000
uvrC	0.000000			0.989949	0.0000
mutS	0.000000			0.989949	0.0000
mutL	-0.000000			0.989949	0.0000
mutH	0.000000			0.989949	0.0000
ligA	-0.000000			0.989949	0.0000
ligB	-0.000000			0.989949	0.0000
ligC	-0.000000			0.989949	0.0000
topA	-0.000000			0.989949	0.0000
topB	-0.000000			0.989949	0.0000
rpoA	-0.000000			0.989949	0.0000
rpoB	-0.000000			0.989949	0.0000
rpoC	-0.000000			0.989949	0.0000
rpoD	-0.000000			0.989949	0.0000
rpoE	0.000000			0.989949	0.0000
rpsA	0.000000			0.989949	0.0000
rpsB	0.000000			0.989949	0.0000
rpsC	0.000000	mutL	-0.511893	0.867952	0.2620
rpsD	-0.000000			0.989949	0.0000
rpsE	-0.000000			0.989949	0.0000
rplA	-0.000000			0.989949	0.0000
rplB	0.000000			0.989949	0.0000
rplC	-0.000000			0.989949	0.0000
rplD	-0.000000			0.989949	0.0000
rplE	0.000000			0.989949	0.0000
tufA	0.000000			0.989949	0.0000
tufB	0.000000			0.989949	0.0000
fusA	-0.000000			0.989949	0.0000
tsf	-0.000000			0.989949	0.0000
infA	0.000000			0.989949	0.0000
infB	-0.000000			0.989949	0.0000
infC	-0.000000			0.989949	0.0000
groL	0.000000			0.989949	0.0000
groS	-0.000000			0.989949	0.0000
dnaK	0.000000			0.989949	0.0000
dnaJ	-0.000000			0.989949	0.0000
grpE	-0.000000			0.989949	0.0000
clpB	-0.000000			0.989949	0.0000
clpC	0.000000			0.989949	0.0000
clpE	0.000000			0.989949	0.0000
ftsZ	-0.000000			0.989949	0.0000
ftsA	0.000000			0.989949	0.0000
ftsE	0.000000			0.989949	0.0000
ftsX	-0.000000			0.989949	0.0000
ftsY	0.000000			0.989949	0.0000
minC	-0.000000			0.989949	0.0000
minD	0.000000			0.989949	0.0000
minE	-0.000000			0.989949	0.0000
secA	0.000000			0.989949	0.0000
secD	0.000000			0.989949	0.0000
secE	0.000000			0.989949	0.0000
secF	0.000000			0.989949	0.0000
secG	0.000000			0.989949	0.0000
secY	-0.000000			0.989949	0.0000
tatA	-0.000000			0.989949	0.0000
tatB	-0.000000			0.989949	0.0000
tatC	-0.000000			0.989949	0.0000
sipS	0.000000			0.989949	0.0000
sipT	-0.000000			0.989949	0.0000
sipU	0.000000			0.989949	0.0000
sipV	-0.000000			0.989949	0.0000
sipW	0.000000			0.989949	0.0000
prfA	0.000000			0.989949	0.0000
prfB	-0.000000			0.989949	0.0000
prfC	-0.000000	zur	0.514946	0.866106	0.2652
def	-0.000000			0.989949	0.0000
fmt	-0.000000			0.989949	0.0000
map	0.000000			0.989949	0.0000
efp	0.000000			0.989949	0.0000
efp2	-0.000000			0.989949	0.0000
tycA	-0.000000			0.989949	0.0000
spoVG	-0.000000			0.989949	0.0000
yhcN	-0.000000	gor	-0.596853	0.810665	0.3562
alsSD	0.000000			0.989949	0.0000
ichAA	-0.000000			0.989949	0.0000
yjbC	-0.000000	qoxE	0.532551	0.855169	0.2836
yjbD	0.000000			0.989949	0.0000
yjbE	0.000000			0.989949	0.0000
yjbF	0.000000			0.989949	0.0000
ytrA	0.000000	glnH	-0.523611	0.860786	0.2742
ytrB	-0.000000			0.989949	0.0000
ytrC	-0.000000			0.989949	0.0000
ytrD	-0.000000			0.989949	0.0000
ytrE	-0.000000			0.989949	0.0000
yxkA	0.000000			0.989949	0.0000
yxkB	-0.000000			0.989949	0.0000
yxkC	-0.000000			0.989949	0.0000
yxkD	0.000000			0.989949	0.0000
yxkE	0.000000			0.989949	0.0000
ywbA	-0.000000			0.989949	0.0000
ywbB	0.000000			0.989949	0.0000
ywbC	-0.000000			0.989949	0.0000
ywbD	0.000000			0.989949	0.0000
ywbE	-0.000000			0.989949	0.0000
yodA	-0.000000			0.989949	0.0000
yodB	0.000000			0.989949	0.0000
yodC	-0.000000			0.989949	0.0000
yodD	0.000000			0.989949	0.0000
yodE	0.000000			0.989949	0.0000
yceC	0.000000			0.989949	0.0000
yceD	-0.000000			0.989949	0.0000
yceE	0.000000			0.989949	0.0000
yceF	-0.000000			0.989949	0.0000
yceG	0.000000			0.989949	0.0000
yflA	0.000000			0.989949	0.0000
yflB	0.000000			0.989949	0.0000
yflC	0.000000			0.989949	0.0000
yflD	-0.000000			0.989949	0.0000
yflE	-0.000000			0.989949	0.0000
ytrF	-0.000000			0.989949	0.0000
ytrG	0.000000			0.989949	0.0000
ytrH	0.000000			0.989949	0.0000
ytrI	-0.000000			0.989949	0.0000
ytrJ	-0.000000			0.989949	0.0000
yxiA	0.000000			0.989949	0.0000
yxiB	-0.000000			0.989949	0.0000
yxiC	0.000000	catR;trxA	-0.554526;-0.442940	0.719227	0.5038
yxiD	0.000000			0.989949	0.0000
yxiE	-0.000000			0.989949	0.0000
ywnA	-0.000000			0.989949	0.0000
ywnB	0.000000			0.989949	0.0000
ywnC	-0.000000			0.989949	0.0000
ywnD	-0.000000			0.989949	0.0000
ywnE	-0.000000			0.989949	0.0000
yoaA	-0.000000			0.989949	0.0000
yoaB	0.000000			0.989949	0.0000
yoaC	-0.000000			0.989949	0.0000
yoaD	0.000000			0.989949	0.0000
yoaE	0.000000			0.989949	0.0000
yqeA	0.000000			0.989949	0.0000
yqeB	-0.000000			0.989949	0.0000
yqeC	0.000000			0.989949	0.0000
yqeD	-0.000000			0.989949	0.0000
yqeE	0.000000			0.989949	0.0000
yvaA	0.000000			0.989949	0.0000
yvaB	-0.000000			0.989949	0.0000
yvaC	-0.000000			0.989949	0.0000
yvaD	-0.000000			0.989949	0.0000
yvaE	-0.000000			0.989949	0.0000
yvbA	-0.000000			0.989949	0.0000
yvbB	-0.000000			0.989949	0.0000
yvbC	-0.000000			0.989949	0.0000
yvbD	-0.000000			0.989949	0.0000
yvbE	-0.000000			0.989949	0.0000
yvcA	0.000000			0.989949	0.0000
yvcB	0.000000			0.989949	0.0000
yvcC	0.000000			0.989949	0.0000
yvcD	0.000000			0.989949	0.0000
yvcE	-0.000000			0.989949	0.0000
yvdA	-0.000000			0.989949	0.0000
yvdB	-0.000000			0.989949	0.0000
yvdC	0.000000			0.989949	0.0000
yvdD	-0.000000			0.989949	0.0000
yvdE	0.000000			0.989949	0.0000
yveA	-0.000000			0.989949	0.0000
yveB	-0.000000			0.989949	0.0000
yveC	-0.000000			0.989949	0.0000
yveD	-0.000000			0.989949	0.0000
yveE	-0.000000			0.989949	0.0000
yvfA	0.000000			0.989949	0.0000
yvfB	-0.000000			0.989949	0.0000
yvfC	-0.000000			0.989949	0.0000
yvfD	0.000000	yceE	-0.534434	0.853969	0.2856
yvfE	0.000000			0.989949	0.0000
yvgA	-0.000000			0.989949	0.0000
yvgB	-0.000000			0.989949	0.0000
yvgC	-0.000000			0.989949	0.0000
yvgD	0.000000			0.989949	0.0000
yvgE	-0.000000			0.989949	0.0000
yvhA	-0.000000			0.989949	0.0000
yvhB	0.000000			0.989949	0.0000
yvhC	0.000000			0.989949	0.0000
yvhD	-0.000000			0.989949	0.0000
yvhE	-0.000000			0.989949	0.0000
