pathway	gene1	gene2
Citrate cycle (TCA cycle) - Homo sapiens (human)	3417	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	3418	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	3418	3420
Citrate cycle (TCA cycle) - Homo sapiens (human)	3418	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	3419	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	3419	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	3420	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	3420	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	3421	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	3421	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	1431
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	2271
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	47
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	5105
Citrate cycle (TCA cycle) - Homo sapiens (human)	4190	5106
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	1431
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	2271
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	47
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	5105
Citrate cycle (TCA cycle) - Homo sapiens (human)	4191	5106
Citrate cycle (TCA cycle) - Homo sapiens (human)	47	48
Citrate cycle (TCA cycle) - Homo sapiens (human)	47	50
Citrate cycle (TCA cycle) - Homo sapiens (human)	47	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	47	5105
Citrate cycle (TCA cycle) - Homo sapiens (human)	47	5106
Citrate cycle (TCA cycle) - Homo sapiens (human)	48	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	48	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	48	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	48	3420
Citrate cycle (TCA cycle) - Homo sapiens (human)	48	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	4967	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	4967	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	4967	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	4967	3420
Citrate cycle (TCA cycle) - Homo sapiens (human)	4967	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	50	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	50	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	50	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	50	3420
Citrate cycle (TCA cycle) - Homo sapiens (human)	50	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	5091	5105
Citrate cycle (TCA cycle) - Homo sapiens (human)	5091	5106
Citrate cycle (TCA cycle) - Homo sapiens (human)	5160	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	5160	5160
Citrate cycle (TCA cycle) - Homo sapiens (human)	5160	5161
Citrate cycle (TCA cycle) - Homo sapiens (human)	5160	5162
Citrate cycle (TCA cycle) - Homo sapiens (human)	5161	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	5161	5160
Citrate cycle (TCA cycle) - Homo sapiens (human)	5161	5161
Citrate cycle (TCA cycle) - Homo sapiens (human)	5161	5162
Citrate cycle (TCA cycle) - Homo sapiens (human)	5162	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	5162	5160
Citrate cycle (TCA cycle) - Homo sapiens (human)	5162	5161
Citrate cycle (TCA cycle) - Homo sapiens (human)	5162	5162
Citrate cycle (TCA cycle) - Homo sapiens (human)	55753	3417
Citrate cycle (TCA cycle) - Homo sapiens (human)	55753	3418
Citrate cycle (TCA cycle) - Homo sapiens (human)	55753	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	55753	3420
Citrate cycle (TCA cycle) - Homo sapiens (human)	55753	3421
Citrate cycle (TCA cycle) - Homo sapiens (human)	6389	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	6389	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	6389	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	6389	8803
Citrate cycle (TCA cycle) - Homo sapiens (human)	6390	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	6390	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	6390	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	6390	8803
Citrate cycle (TCA cycle) - Homo sapiens (human)	6391	283398
Citrate cycle (TCA cycle) - Homo sapiens (human)	6391	8801
Citrate cycle (TCA cycle) - Homo sapiens (human)	6391	8802
Citrate cycle (TCA cycle) - Homo sapiens (human)	6391	8803
