class	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175	0.0	0.0	3167.7	0.0	0.0	0.0	2210.3	2442.7	0.0	1277.4	0.0	0.0
174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1534.8	0.0	0.0	0.0	0.0
3776	0.0	0.0	0.0	0.0	0.0	1663.9	0.0	0.0	0.0	0.0	0.0	0.0
22996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1636.4	0.0	0.0
10393	0.0	3459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10396	0.0	0.0	8656.0	0.0	0.0	0.0	0.0	4038.6	0.0	0.0	0.0	11352.9
10397	2873.6	6183.0	7237.1	0.0	0.0	0.0	0.0	0.0	0.0	2211.1	0.0	3539.2
10399	319118.3	314255.0	328916.1	423930.9	337452.5	310599.4	207177.3	205164.5	363170.3	263036.8	407065.9	185701.1
271	7977.0	8175.4	0.0	12650.1	6040.7	9325.0	5675.4	7057.1	12147.0	9463.8	9906.1	9853.0
100616497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7216	0.0	0.0	2574.7	0.0	0.0	0.0	0.0	0.0	0.0	1876.2	0.0	0.0
6217	193970.4	232025.9	160583.5	174739.3	200240.1	244114.4	160208.6	151359.9	161174.6	144444.9	244237.2	132948.4
6210	282920.9	278494.1	233714.9	180991.2	301320.2	324764.8	207446.3	157801.6	191974.1	216659.7	280678.3	177385.5
274	3770.2	3340.7	16528.3	5137.5	8729.2	17079.3	10717.5	4442.9	0.0	0.0	0.0	6881.7
6218	337762.9	332847.7	302011.8	347065.1	361524.4	350882.8	186292.4	183934.4	257238.6	226166.0	365743.9	166299.6
6819	0.0	0.0	0.0	1870.7	2074.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6818	4022.7	0.0	2513.2	3608.4	2746.4	0.0	6675.6	5336.6	9315.4	5460.0	5227.2	11561.7
276	0.0	0.0	0.0	1630.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6811	0.0	0.0	0.0	0.0	0.0	6217.0	2662.7	0.0	0.0	2566.8	0.0	0.0
6810	0.0	0.0	4306.7	5412.1	0.0	0.0	0.0	4009.1	9140.5	3937.0	0.0	4064.0
6813	0.0	0.0	5124.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3880.3
6812	0.0	0.0	0.0	6821.2	0.0	0.0	0.0	0.0	0.0	2897.1	0.0	0.0
6814	2721.3	3232.7	4044.6	2641.4	3495.1	2904.6	3612.0	2654.9	2823.4	3794.6	0.0	4565.5
6817	7303.9	7708.6	5598.0	9934.7	7863.0	9099.5	9594.6	8308.7	14553.0	10908.8	8483.5	15971.6
9757	0.0	5136.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3859.6	0.0	4762.5
9755	6340.5	0.0	3683.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10204.9
9752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1640.1	0.0	0.0	0.0	1575.0
9751	0.0	0.0	0.0	0.0	4736.3	0.0	0.0	0.0	3109.0	0.0	0.0	0.0
9750	0.0	5216.5	19774.4	0.0	0.0	0.0	12271.9	7943.1	0.0	1040.8	0.0	7177.2
10574	13883.7	20492.9	17960.2	18741.8	21150.8	22807.6	13025.1	14741.9	19515.0	20731.5	20245.5	15363.6
10575	5742.5	0.0	5039.1	5548.2	6234.2	7974.4	3649.1	3688.6	0.0	5689.3	6051.9	2471.8
10576	26480.0	31120.8	23920.4	42774.1	21486.4	36084.9	22554.4	26212.3	23729.6	36835.3	36219.4	23683.0
10577	14342.3	10897.7	5995.9	6066.7	6916.5	6533.6	12594.2	3927.9	5094.5	5991.5	8502.2	8177.4
